how are you?	N'ar jaraski?
good morning	N'ar erandi
good night	N'ar chures
thank you very much	Diosï meyamu
my name is	ji arinshi
bought the pot	pyásti tsúntsu-ni
he will meet you at marias place	kuntaati maria-o
that womans dog	imá wárhiti-ri wíchu
brother	markueni
we	jucha
we	ochi
house	k'úmbikwa
food	kúmpa
water	itsï
fire	ch'ípiri
earth	echeri
sun	juriata
moon	kutsi
star	jimbani
mountain	sïkua
river	iurhekua
tree	anhatapu
man	achati
woman	uarhi
child	uatsi
dog	uíchu
cat	mítsi
bird	kuíni
fish	kuruchi
corn	tátani
bean	sïkuini
milk	itzukua
salt	itukua
sugar	ts'ikiri
bread	kurinda
meat	k'uiripeta
egg	uaxanda
day	juriatikua
night	chúrekua
morning	erandu
afternoon	shatini
evening	terushutini
year	ueshurhini
time	jimbó
friend	kungurikua
love	k'úrpiti
peace	sïrátani
war	k'úrpiti
happy	ts'íntani
sad	k'átsïni
yes	jé
no	amá
please	juchári
thank you	diosï meyáku
sorry	juchári
goodbye	juchári
I	ji
you	t'u
he	ima
she	ima
we	jucha
we	ochi
you	cha
they	tsï
this	antiku
that	inde
here	axo
there	jima
who	né-
what	ambe
where	nani
when	káni
why	íni
how	nana
one	ma
two	tsimani
three	tanimu
four	t'ámu
five	iúmu
six	yum tanimu
seven	yum tanimu ma
eight	yum tanimu tsimani
nine	yum tanimu tanimu
ten	taní-taní-taní-ma
hello	Nareránsku
I am hungry	Ná karíma
You are my friend	Jé irékua
He is working	Ima irétani
She is singing	Ima piré
We are happy	Juchá ts'íntani
They are dancing	Ima uarha
Where are you going?	¿Nani jé iréta?
What is your name?	¿Náre arhikorheski?
My name is Maria	Ji arhikorheska Maria
I don't understand	Ná amá uandajperasï
Can you help me?	¿Jé k'eri uantani?
I love you	Ná uembekua
Good morning	Náre erantsku
Good night	Náre chúsku
Please sit down	Juchári, uaxákuni
Let's go!	¡Ju ia!
How much does this cost?	¿Jimbó k'eri antiku?
I would like some water	Ná k'eri itsï
Do you speak English?	¿Jé arhinperesï inglés?
I don't speak Purépecha	Ná amá arhinperasï purépecha
Where is the bathroom?	¿Nani k'eri uarhíkukua?
I need a doctor	Ná k'eri eréticha
I'm lost	Ná k'eri jorhentani
Can you show me?	¿Jé k'eri uantani?
I am learning Purépecha	Ná k'eri arhintani purépecha
What time is it?	¿Jimbó k'eri uandajperasï?
I am tired	Ná k'eri k'átsïni
I am happy	Ná k'eri ts'íntani
I am sad	Ná k'eri k'átsïni
I am sick	Ná k'eri k'átsïni
I am thirsty	Ná k'eri itsï
I am cold	Ná k'eri k'átsïni
I am hot	Ná k'eri ts'íntani
I am fine	Ná k'eri ts'íntani
I am not fine	Ná amá k'eri ts'íntani
I am busy	Ná k'eri irétani
I am not busy	Ná amá k'eri irétani
I am ready	Ná k'eri ts'íntani
I am not ready	Ná amá k'eri ts'íntani
I am afraid	Ná k'eri k'átsïni
I am not afraid	Ná amá k'eri k'átsïni
I am surprised	Ná k'eri ts'íntani
I am not surprised	Ná amá k'eri ts'íntani
I am bored	Ná k'eri k'átsïni
I am not bored	Ná amá k'eri k'átsïni
I am interested	Ná k'eri ts'íntani
I am not interested	Ná amá k'eri ts'íntani
I am hungry	Ná k'eri karíma
I am not hungry	Ná amá k'eri karíma
I am full	Ná k'eri ts'íntani
I am not full	Ná amá k'eri ts'íntani
I am sleepy	Ná k'eri k'átsïni
I am not sleepy	Ná amá k'eri k'átsïni
I am awake	Ná k'eri ts'íntani
I am not awake	Ná amá k'eri ts'íntani
I am married	Ná k'eri ts'íntani
I am not married	Ná amá k'eri ts'íntani
I am single	Ná k'eri ts'íntani
I am not single	Ná amá k'eri ts'íntani
I am divorced	Ná k'eri k'átsïni
I am not divorced	Ná amá k'eri k'átsïni
I am a student	Ná k'eri arhintani
I am not a student	Ná amá k'eri arhintani
I am a teacher	Ná k'eri arhintani
I am not a teacher	Ná amá k'eri arhintani
I am a doctor	Ná k'eri eréticha
I am not a doctor	Ná amá k'eri eréticha
I am a lawyer	Ná k'eri arhintani
I am not a lawyer	Ná amá k'eri arhintani
I am a musician	Ná k'eri piré
I am not a musician	Ná amá k'eri piré
I am a writer	Ná k'eri kará
I am not a writer	Ná amá k'eri kará
I am a painter	Ná k'eri arhintani
I am not a painter	Ná amá k'eri arhintani
I am a dancer	Ná k'eri uarha
I am not a dancer	Ná amá k'eri uarha
I am a singer	Ná k'eri piré
I am not a singer	Ná amá k'eri piré
I am a chef	Ná k'eri t'iréni
I am not a chef	Ná amá k'eri t'iréni
I am a driver	Ná k'eri arhintani
I am not a driver	Ná amá k'eri arhintani
I am a pilot	Ná k'eri arhintani
I am not a pilot	Ná amá k'eri arhintani
I am a farmer	Ná k'eri arhintani
I am not a farmer	Ná amá k'eri arhintani
I am a mechanic	Ná k'eri arhintani
I	ji
you	t'u
he	ima
we	jucha
you	cha
they	tsï
who	né-
what	ambe
where	nani
when	káni
how	nana
one	ma
two	tsimani
three	tanimu
four	t'ámu
five	iúmu
big	k'eri
small	sapi
long	ióstí
short	axukata
woman	uarhi
man	t'arhe
child	uatsi
mother	amamba
father	tatemba
go out	wéra-ni
cry	wera-ni
fly	kára-ni
write	kara-ni
approach	píri-ni
sing	piri-ni
do	ú
wash	jupa
know	mí-ti
canoe	tepari
sun	jurhiata
abyss	jauanikuaru
acorn	apisi
hip	anhajtarhakua
neck	anhanchakua
you	t'u
they	tsï
this	antiku
there	jima
what	ambe
when	káni
not	nómbe
all	iámendu
many	kánekua
some	máru
few	namunku
other	máteru
wide	kósti
thick	tepari
heavy	k'uetsapiti
narrow	no kósti
thin	ts'auapiti
man	t'arhe
man	achá
child	uatsi
wife	témba
husband	uámba
mother	amamba
father	tatemba
animal	iurhutsï
louse	ambusï
snake	akuitsï
worm	ts'irakua
forest	p'ukutapu
stick	ch'ikari
fruit	amanhenchakua
seed	tsikipu
leaf	chukurhi
root	sïrangua
bark	chésï
flower	tsïtsïki
grass	uitsakua
rope	sïndari
skin	sïkuiri
blood	iurhiri
bone	úni
fat	tamakua
horn	sïuangua
tail	ch'eti
feather	p'unguari
hair	jauiri
head	éjpu
ear	indi
eye	éskua
nose	úrhi
mouth	penchumikua
tooth	sin
tongue	katamba
fingernail	téjki
foot	durha
leg	angajtakua
knee	jurhintskua
hand	jájki
wing	k'exkua
belly	chopeorha
guts	xarhameta
back	pexu
breast	pexu
heart	mintsita
liver	tauasï
to drink	xurhundini
to eat	t'ireni
to bite	katsarhini
to suck	itsuni
to spit	t'uátani
to vomit	jiuani
to blow	p'unitani
to breathe	jirestani
to laugh	terekurhini
to see	exeni
to hear	kurhanguni
to know	jorhenani
to think	eratsini
to smell	t'unurhini
to fear	chéni
to sleep	k'uíni
to live	erekani
to die	uarhini
to kill	uándikuni
to fight	uarhipeni
to hunt	atani
to hit	matani
to cut	akuarhetani
to split	arhukuni
to swim	xarhiani
to fly	kárani
to walk	xanharani
to come	jurhani
to lie	ichapini
to sit	uaxakani
to give	íntspeni
to hold	angaxurhini
to squeeze	antsiakuni
to rub	atarheni
to wash	jupani
to pull	antsikuni
to push	pájtamani
to throw	k'uanikuni
to tie	tepeni
to sew	sïrikuni
to count	arhijpeni
to say	uandani
to sing	pireni
to play	ch'anani
to freeze	iauani
star	joskua
rain	janikua
lake	japunda
sea	japunda k'eri
stone	tsakapu
sand	kutsari
dust	t'upuri
cloud	xumarhu
fog	xuma
sky	auanda
wind	tariata
snow	iéjta
ice	iauakua
smoke	itsutani
ash	t'upuri
to burn	aparheni
road	xanharu
mountain	juata
red	charhapiti
green	xurhapiti
yellow	tsïpambiti
white	urapiti
black	turhipiti
day	jurhiakua
warm	tsándini
cold	ts'irakua
full	uinimuni
new	jimbanhi
old	tamapu
good	sesi
bad	ch'amachamasï
rotten	puri
dirty	k'eresï
straight	jurhimbiti
round	uirhipiti
sharp	ambamusku
wet	kuakari
dry	k'arhiri
correct	sesï jarhani
near	jimajku
far	iauani
right	jurhimbiti
left	uikixu
in	inchareni
with	jingoni
and	ka
if	k'uaniaka
because	jimboka
name	arhikuarhikua
house	taa
wall	tsïntsïkata
deer	axuni
mouse	jeiaki
rabbit	auani
eagle	uakusï
spider	sïkuapu
face	kánarhikua
navel	túpu
finger	munchujkurhakua
sick	p'amencha
needle	p'ikukua
clothing	jukantskua
above	karhakua
below	kétsekua
to cough	júni
to buy	piáni
to choose	erakuni
to grow	antsirani
to open	cháuani
to steal	euakurhini
to dream	tsánharhini
to cry	uerani
to yawn	arhamarhini
to cook	jámani
six	kuímu
seven	yumu tsimani
eight	yumu tanimu
nine	yumu t'ámu
ten	témbeni
which	náki
how many	na xani
man	t'arhe
woman	uarhiti
child	uatsi
father	tata
mother	amamba
wife	témba
husband	uámba
one	ma
two	tsimani
three	tanimu
four	t'ámu
five	iúmu
six	kúmu
seven	túmu
eight	xúmu
nine	jímu
ten	púmu
white	urapiti
black	turipiti
red	tsïri
blue	uaroti
yellow	cipampiti
air	tariata
edible	akúa
to eat	akúakuni
to cut	akuárheni
snake	akuítse
fish	akúmarha
herb	akúmba
to crave	akúnchani
to eat	akunhantani
to eat	akúni
to eat	akútsëpurahékua
power	akútsekuarhekua
to eat	akútsïpeni
mother	amámba
craving	amanhencha
fruit	amanhenchakua
badger	amátsï
to comb	ambájtšikuni
comb	ambájtšitakua
kindness	ambákekua
to be good	ambákeni
to heal	ambákentani
to clean	ambákerani
to clean	ambákerani
to relieve	ambákerantani
to be good	ambáketini
good	ambákiti
to dawn	ambámandeni
sharpener	ambámukuri
to speak	ambándirani
place	ambándo
clean	ambánharhini
to clean	ambánskani
to clean	ambárheni
to scold	ambe ma arhíjperani
what will it be?	¿ambé xamuésïki?
what?	¿ambé?
what would it be?	¿ambépi?
what is it?	¿ambésïki?
what else?	¿ambéteru?
which?	nákï
when?	¿na jatíni?
how much?	¿na xáni?
horse	tekéchu
cabin	kuákua
hair	jaúiri
head	éjpu
person	apóntsi
cape	juási
each year	mándani uéxurhini
each thing	mándani ambe
each day	mándani pauáni
each month	mándani kutsï
everyone	táchani ísí
chain	tiámu síndári úkata
to fall	uekórheni
lime	kurhírakua
pumpkin	purhú
cramp	sínkúrí atáni
soup	churhípu
to heat	jurhéparani
hot	jurhépiti
street	xanháru
callus	takísï
to calm	iakáni
heat	apárhekua
bald	pátsïntsï
shoe	jukándurhakua
underwear	t'ipíjchukua
loincloth	jajchutakua
to change	mójtakuni
to change	mórheleni
traveler	xanhárati
to walk	xanhárani
road	xanháru
potato	uarhásï
farmer	tarhéri
I	Jí
my name is	Arhikuarheska
and	Ka
I am from	Anapueska
North Carolina	Carolina De Norte
I just danced	Jí uarhaspka
I danced	Jí uarhaska
I am dancing	Jí uarhaxaka
I sing	Jí piresïnga
I will dance	Jí pireaka
I cry	Ji uerasïnga
they cried	Inde ueraspti
they cried	Inde uerasti
they are crying	Inde ueraxati
little boy	Tataka sapichu
little girl	Nanaka sapichu
I am here	Jí ixu jarhaska
you are here?	T'úri ixu jarhaski
that	Inde
this dog is here	Inde uíchu ixu jarhasti
something	Ima
Daniel is not here	Ima tata Daniel ixu no jarhastti
the dog is there	Ima uíchu jinni jarhasti
to see	Exeni
I heard	Jí kurhaska
you heard	T'úri kurhaska
you saw	T'úri exeska
you are watching	T'úri exexaka
that dog is dancing	Inde uíchu uarhaxati
the boy played	Inde tataka ch'anasti
that boy is playing	Inde tataka ch'anasati
to buy	Piáani
see you next time	Menderu jimbo ia
everything good?	Sési?
yes	Jó
good	Sési
and	Ka
what is that?	Ka ambeeski inde?
that boy is sleeping	Inde tataka sapichu k'uíxatí
I saw the boy	Ji exeska tatakani
you saw the boy	T'úri exeska tataka sapichuni
they saw the woman	Inde exesti uarhiitini
the man gave the boy oatmeal	Achaati ínstskusti kamata tataka sapichuni
the dog went to drink	Inde uíchu nirasti itsïmani
that dog is happy	Ima uíchu enga tsípe xati
you are asking	T'u engari kurhamarhi xaka
you said the dog was happy	T'ure uandaska éska uíchu tsípesti
you said	T'ure uandaska
what is your name?	Náre arhikuarheski?
where are you from?	Ka nanire anapueski?
the girl is playing	Ch'ana xati nanaka sapichu
two flowers	Tsimani tsïtsïkiecha
many flowers	Uánekua tsïtsïkiecha
to ask	kurhamarhini
he asked	kurhamarhisti
this person asked	inde kurhamarhisti
he asked this person	kurhamarhisti inde
that person asked	ima kurhamarhisti
he asked that person	kurhamarhisti ima
they asked	tsï kurhamarhisti
they asked	ts'á kurhamarhisti
they asked	kurhamarhistiksi
go and buy garlic	Ni piani ajusï
a man is talking	Achaati ma uanda xati
watch out for the snake	Jinkontkua akuitsï jinkoni
I am going to buy snacks	Nipa piakuarhin amanhejchakua ambe
give me the comb	Intsïtarhin ambajtsïtakua
give me	Intsïtarhin
I am leaving	Nipaya
I am leaving before dawn	Nipaya antes de ambamandini
I did not go to work	No nirashkani anchikuarhini
I do not have a job	No kamshïnga anchikuarhita 